GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C8H001,C8H002,C8H003,C8H004,C8H005,C8H006
"G0601245","1980","4","9","California","06",,,,"Hercules","1245",,,,,,,,,,,,"HERCULES CITY",1548,46,14,140,4,1
"G0601248","1980","4","9","California","06",,,,"Herlong","1248",,,,,,,,,,,,"HERLONG %CDP<",130,1,1,224,6,0
"G0601250","1980","4","9","California","06",,,,"Hermosa Beach","1250",,,,,,,,,,,,"HERMOSA BEACH CITY",3201,32,12,5745,67,77
"G0601251","1980","4","9","California","06",,,,"Hesperia","1251",,,,,,,,,,,,"HESPERIA %CDP<",3893,101,25,894,37,25
"G0601252","1980","4","9","California","06",,,,"Hidden Hills","1252",,,,,,,,,,,,"HIDDEN HILLS CITY",443,2,0,17,0,0
"G0601253","1980","4","9","California","06",,,,"Highland","1253",,,,,,,,,,,,"HIGHLAND %CDP<",2523,80,21,898,53,17
"G0601265","1980","4","9","California","06",,,,"Hillsborough","1265",,,,,,,,,,,,"HILLSBOROUGH CITY",3249,13,4,123,1,2
"G0601267","1980","4","9","California","06",,,,"Hilmar-Irwin","1267",,,,,,,,,,,,"HILMAR-IRWIN %CDP<",405,20,8,122,2,5
"G0601270","1980","4","9","California","06",,,,"Hollister","1270",,,,,,,,,,,,"HOLLISTER CITY",1858,146,70,1336,156,150
"G0601280","1980","4","9","California","06",,,,"Holtville","1280",,,,,,,,,,,,"HOLTVILLE CITY",774,66,40,364,51,36
"G0601284","1980","4","9","California","06",,,,"Home Garden","1284",,,,,,,,,,,,"HOME GARDEN %CDP<",274,15,5,101,24,15
"G0601285","1980","4","9","California","06",,,,"Home Gardens","1285",,,,,,,,,,,,"HOME GARDENS %CDP<",1046,90,75,317,48,66
"G0601286","1980","4","9","California","06",,,,"Homeland","1286",,,,,,,,,,,,"HOMELAND %CDP<",1151,11,3,99,8,4
"G0601295","1980","4","9","California","06",,,,"Hughson","1295",,,,,,,,,,,,"HUGHSON CITY",565,30,20,269,39,26
"G0601300","1980","4","9","California","06",,,,"Huntington Beach","1300",,,,,,,,,,,,"HUNTINGTON BEACH CITY",34648,410,129,24444,851,644
"G0601305","1980","4","9","California","06",,,,"Huntington Park","1305",,,,,,,,,,,,"HUNTINGTON PARK CITY",2936,478,447,7188,1331,2635
"G0601310","1980","4","9","California","06",,,,"Huron","1310",,,,,,,,,,,,"HURON CITY",159,28,36,203,82,140
"G0601314","1980","4","9","California","06",,,,"Idyllwild-Pine Cove","1314",,,,,,,,,,,,"IDYLLWILD-PINE COVE %CDP<",799,18,7,375,20,8
"G0601317","1980","4","9","California","06",,,,"Imperial","1317",,,,,,,,,,,,"IMPERIAL CITY",601,42,38,303,49,32
"G0601320","1980","4","9","California","06",,,,"Imperial Beach","1320",,,,,,,,,,,,"IMPERIAL BEACH CITY",2392,130,67,4573,388,217
"G0601327","1980","4","9","California","06",,,,"Indian Wells","1327",,,,,,,,,,,,"INDIAN WELLS CITY",580,0,2,35,0,1
"G0601330","1980","4","9","California","06",,,,"Indio","1330",,,,,,,,,,,,"INDIO CITY",2994,272,164,2295,376,525
"G0601335","1980","4","9","California","06",,,,"Industry","1335",,,,,,,,,,,,"INDUSTRY CITY",68,3,1,55,7,7
"G0601340","1980","4","9","California","06",,,,"Inglewood","1340",,,,,,,,,,,,"INGLEWOOD CITY",11479,585,434,21070,1473,1709
"G0601345","1980","4","9","California","06",,,,"Ione","1345",,,,,,,,,,,,"IONE CITY",390,9,3,217,10,3
"G0601347","1980","4","9","California","06",,,,"Irvine","1347",,,,,,,,,,,,"IRVINE CITY",15354,154,60,5620,110,39
"G0601350","1980","4","9","California","06",,,,"Irwindale","1350",,,,,,,,,,,,"IRWINDALE CITY",116,15,9,76,16,23
"G0601355","1980","4","9","California","06",,,,"Isleton","1355",,,,,,,,,,,,"ISLETON CITY",203,5,4,151,10,4
"G0601360","1980","4","9","California","06",,,,"Ivanhoe","1360",,,,,,,,,,,,"IVANHOE %CDP<",579,36,16,183,32,23
"G0601365","1980","4","9","California","06",,,,"Jackson","1365",,,,,,,,,,,,"JACKSON CITY",617,4,2,377,3,6
"G0601367","1980","4","9","California","06",,,,"Jamestown","1367",,,,,,,,,,,,"JAMESTOWN %CDP<",545,14,7,265,9,5
"G0601368","1980","4","9","California","06",,,,"Jamul","1368",,,,,,,,,,,,"JAMUL %CDP<",462,12,8,105,3,3
"G0601375","1980","4","9","California","06",,,,"Johnson Park","1375",,,,,,,,,,,,"JOHNSON PARK %CDP<",282,6,2,82,5,1
"G0601377","1980","4","9","California","06",,,,"Joshua Tree","1377",,,,,,,,,,,,"JOSHUA TREE %CDP<",715,7,4,223,14,6
"G0601379","1980","4","9","California","06",,,,"Julian","1379",,,,,,,,,,,,"JULIAN %CDP<",339,14,5,143,7,11
"G0601380","1980","4","9","California","06",,,,"Kelseyville","1380",,,,,,,,,,,,"KELSEYVILLE %CDP<",468,11,5,130,13,8
"G0601386","1980","4","9","California","06",,,,"Kensington","1386",,,,,,,,,,,,"KENSINGTON %CDP<",1870,4,2,364,2,4
"G0601390","1980","4","9","California","06",,,,"Kerman","1390",,,,,,,,,,,,"KERMAN CITY",728,52,34,443,37,22
"G0601392","1980","4","9","California","06",,,,"Kernville","1392",,,,,,,,,,,,"KERNVILLE %CDP<",476,8,6,225,7,6
"G0601393","1980","4","9","California","06",,,,"Kettleman City","1393",,,,,,,,,,,,"KETTLEMAN CITY %CDP<",88,30,15,63,18,28
"G0601400","1980","4","9","California","06",,,,"King City","1400",,,,,,,,,,,,"KING CITY CITY",767,28,27,677,119,166
"G0601403","1980","4","9","California","06",,,,"Kings Beach","1403",,,,,,,,,,,,"KINGS BEACH %CDP<",277,13,1,540,26,32
"G0601405","1980","4","9","California","06",,,,"Kingsburg","1405",,,,,,,,,,,,"KINGSBURG CITY",1230,44,18,502,25,22
"G0601410","1980","4","9","California","06",,,,"La Canada Flintridge","1410",,,,,,,,,,,,"LA CANADA FLINTRIDGE CITY",5929,40,11,719,13,7
"G0601412","1980","4","9","California","06",,,,"La Crescenta-Montrose","1412",,,,,,,,,,,,"LA CRESCENTA-MONTROSE %CDP<",4169,80,31,1986,28,29
"G0601413","1980","4","9","California","06",,,,"Ladera Heights","1413",,,,,,,,,,,,"LADERA HEIGHTS %CDP<",1969,14,5,567,7,0
"G0601415","1980","4","9","California","06",,,,"Lafayette","1415",,,,,,,,,,,,"LAFAYETTE CITY",5670,19,6,2106,11,10
"G0601420","1980","4","9","California","06",,,,"Laguna Beach","1420",,,,,,,,,,,,"LAGUNA BEACH CITY",4501,23,10,3876,44,101
"G0601423","1980","4","9","California","06",,,,"Laguna Hills","1423",,,,,,,,,,,,"LAGUNA HILLS %CDP<",15209,39,18,2348,22,16
"G0601424","1980","4","9","California","06",,,,"Laguna Niguel","1424",,,,,,,,,,,,"LAGUNA NIGUEL %CDP<",3863,24,1,638,7,4
"G0601426","1980","4","9","California","06",,,,"Lagunitas-Forest Knolls","1426",,,,,,,,,,,,"LAGUNITAS-FOREST KNOLLS %CDP<",354,12,6,205,9,13
"G0601428","1980","4","9","California","06",,,,"La Habra","1428",,,,,,,,,,,,"LA HABRA CITY",9263,242,123,6299,297,314
"G0601429","1980","4","9","California","06",,,,"La Habra Heights","1429",,,,,,,,,,,,"LA HABRA HEIGHTS CITY",1386,12,6,80,3,0
"G0601433","1980","4","9","California","06",,,,"Lake Arrowhead","1433",,,,,,,,,,,,"LAKE ARROWHEAD %CDP<",1600,27,6,560,17,10
"G0601434","1980","4","9","California","06",,,,"Lake Elsinore","1434",,,,,,,,,,,,"LAKE ELSINORE CITY",1321,44,23,973,71,86
"G0601437","1980","4","9","California","06",,,,"Lake Isabella","1437",,,,,,,,,,,,"LAKE ISABELLA %CDP<",1244,16,8,309,11,5
"G0601440","1980","4","9","California","06",,,,"Lakeland Village","1440",,,,,,,,,,,,"LAKELAND VILLAGE %CDP<",733,16,15,359,30,16
"G0601445","1980","4","9","California","06",,,,"Lakeport","1445",,,,,,,,,,,,"LAKEPORT CITY",1045,9,5,453,17,10
"G0601450","1980","4","9","California","06",,,,"Lakeside","1450",,,,,,,,,,,,"LAKESIDE %CDP<",6417,114,26,1807,90,41
"G0601455","1980","4","9","California","06",,,,"Lakewood","1455",,,,,,,,,,,,"LAKEWOOD CITY",18605,423,155,6241,283,146
"G0601460","1980","4","9","California","06",,,,"La Mesa","1460",,,,,,,,,,,,"LA MESA CITY",11265,105,32,9868,158,135
"G0601462","1980","4","9","California","06",,,,"La Mirada","1462",,,,,,,,,,,,"LA MIRADA CITY",9725,341,87,1759,117,48
"G0601470","1980","4","9","California","06",,,,"Lamont","1470",,,,,,,,,,,,"LAMONT %CDP<",1358,167,92,842,180,191
"G0601476","1980","4","9","California","06",,,,"Lancaster","1476",,,,,,,,,,,,"LANCASTER CITY",11694,276,84,4955,204,99
"G0601477","1980","4","9","California","06",,,,"La Palma","1477",,,,,,,,,,,,"LA PALMA CITY",3423,72,19,1044,31,18
"G0601480","1980","4","9","California","06",,,,"La Puente","1480",,,,,,,,,,,,"LA PUENTE CITY",4438,700,302,2426,276,217
"G0601482","1980","4","9","California","06",,,,"La Quinta","1482",,,,,,,,,,,,"LA QUINTA %CDP<",748,24,8,361,22,14
"G0601483","1980","4","9","California","06",,,,"La Riviera","1483",,,,,,,,,,,,"LA RIVIERA %CDP<",2565,26,9,1454,26,15
"G0601485","1980","4","9","California","06",,,,"Larkspur","1485",,,,,,,,,,,,"LARKSPUR CITY",2400,17,6,2957,16,24
"G0601488","1980","4","9","California","06",,,,"La Selva Beach","1488",,,,,,,,,,,,"LA SELVA BEACH %CDP<",426,0,2,188,7,5
"G0601489","1980","4","9","California","06",,,,"Las Lomas","1489",,,,,,,,,,,,"LAS LOMAS %CDP<",224,31,36,83,18,29
"G0601490","1980","4","9","California","06",,,,"Lathrop","1490",,,,,,,,,,,,"LATHROP %CDP<",732,59,37,196,36,11
"G0601495","1980","4","9","California","06",,,,"Laton","1495",,,,,,,,,,,,"LATON %CDP<",188,9,5,117,17,8
"G0601500","1980","4","9","California","06",,,,"La Verne","1500",,,,,,,,,,,,"LA VERNE CITY",5979,96,50,2132,74,52
"G0601505","1980","4","9","California","06",,,,"Lawndale","1505",,,,,,,,,,,,"LAWNDALE CITY",2555,175,107,4427,463,407
"G0601507","1980","4","9","California","06",,,,"Laytonville","1507",,,,,,,,,,,,"LAYTONVILLE %CDP<",233,10,7,123,11,5
"G0601510","1980","4","9","California","06",,,,"Lemon Grove","1510",,,,,,,,,,,,"LEMON GROVE CITY",4493,128,43,2433,122,57
"G0601515","1980","4","9","California","06",,,,"Lemoore","1515",,,,,,,,,,,,"LEMOORE CITY",1784,37,11,1106,64,43
"G0601517","1980","4","9","California","06",,,,"Lemoore Station","1517",,,,,,,,,,,,"LEMOORE STATION %CDP<",5,2,1,1140,60,13
"G0601520","1980","4","9","California","06",,,,"Lennox","1520",,,,,,,,,,,,"LENNOX %CDP<",1433,186,179,2387,501,791
"G0601525","1980","4","9","California","06",,,,"Lenwood","1525",,,,,,,,,,,,"LENWOOD %CDP<",633,53,17,209,14,4
"G0601529","1980","4","9","California","06",,,,"Leucadia","1529",,,,,,,,,,,,"LEUCADIA %CDP<",2173,34,29,1451,57,71
"G0601535","1980","4","9","California","06",,,,"Lincoln","1535",,,,,,,,,,,,"LINCOLN CITY",938,47,21,416,22,15
"G0601537","1980","4","9","California","06",,,,"Lincoln Village","1537",,,,,,,,,,,,"LINCOLN VILLAGE %CDP<",1873,21,1,363,9,7
"G0601540","1980","4","9","California","06",,,,"Linda","1540",,,,,,,,,,,,"LINDA %CDP<",1611,75,36,1717,133,77
"G0601550","1980","4","9","California","06",,,,"Lindsay","1550",,,,,,,,,,,,"LINDSAY CITY",1326,76,61,703,84,94
"G0601561","1980","4","9","California","06",,,,"Live Oak","1561",,,,,,,,,,,,"LIVE OAK CITY",581,44,22,311,38,35
"G0601566","1980","4","9","California","06",,,,"Live Oak","1566",,,,,,,,,,,,"LIVE OAK %CDP<",2241,43,24,1722,91,51
"G0601570","1980","4","9","California","06",,,,"Livermore","1570",,,,,,,,,,,,"LIVERMORE CITY",11375,144,36,4445,145,85
"G0601575","1980","4","9","California","06",,,,"Livingston","1575",,,,,,,,,,,,"LIVINGSTON CITY",626,107,105,337,84,123
"G0601581","1980","4","9","California","06",,,,"Lockeford","1581",,,,,,,,,,,,"LOCKEFORD %CDP<",475,11,12,144,8,8
"G0601585","1980","4","9","California","06",,,,"Lodi","1585",,,,,,,,,,,,"LODI CITY",8160,115,54,5362,180,144
"G0601588","1980","4","9","California","06",,,,"Loma Linda","1588",,,,,,,,,,,,"LOMA LINDA CITY",1783,51,14,2190,72,50
"G0601590","1980","4","9","California","06",,,,"Lomita","1590",,,,,,,,,,,,"LOMITA CITY",3333,80,32,3927,197,164
"G0601600","1980","4","9","California","06",,,,"Lompoc","1600",,,,,,,,,,,,"LOMPOC CITY",4585,89,40,4303,222,141
"G0601604","1980","4","9","California","06",,,,"London","1604",,,,,,,,,,,,"LONDON %CDP<",148,21,16,80,26,38
"G0601605","1980","4","9","California","06",,,,"Lone Pine","1605",,,,,,,,,,,,"LONE PINE %CDP<",396,11,4,279,17,7
"G0601610","1980","4","9","California","06",,,,"Long Beach","1610",,,,,,,,,,,,"LONG BEACH CITY",62537,1525,958,77894,3839,4858
"G0601612","1980","4","9","California","06",,,,"Loomis","1612",,,,,,,,,,,,"LOOMIS %CDP<",331,8,1,124,4,1
"G0601615","1980","4","9","California","06",,,,"Los Alamitos","1615",,,,,,,,,,,,"LOS ALAMITOS CITY",1879,39,3,1952,71,36
"G0601620","1980","4","9","California","06",,,,"Los Altos","1620",,,,,,,,,,,,"LOS ALTOS CITY",7823,41,6,1217,22,7
"G0601625","1980","4","9","California","06",,,,"Los Altos Hills","1625",,,,,,,,,,,,"LOS ALTOS HILLS CITY",2142,11,1,206,2,7
"G0601630","1980","4","9","California","06",,,,"Los Angeles","1630",,,,,,,,,,,,"LOS ANGELES CITY",429049,16908,11418,558154,42325,77376
"G0601635","1980","4","9","California","06",,,,"Los Banos","1635",,,,,,,,,,,,"LOS BANOS CITY",2176,91,27,1174,102,73
"G0601640","1980","4","9","California","06",,,,"Los Gatos","1640",,,,,,,,,,,,"LOS GATOS TOWN",6599,36,11,3840,36,17
"G0601642","1980","4","9","California","06",,,,"Los Molinos","1642",,,,,,,,,,,,"LOS MOLINOS %CDP<",354,12,6,130,9,4
"G0601650","1980","4","9","California","06",,,,"Lower Lake","1650",,,,,,,,,,,,"LOWER LAKE %CDP<",356,3,3,76,6,3
"G0601652","1980","4","9","California","06",,,,"Loyalton","1652",,,,,,,,,,,,"LOYALTON CITY",249,13,3,113,7,1
"G0601656","1980","4","9","California","06",,,,"Lucas Valley-Marinwood","1656",,,,,,,,,,,,"LUCAS VALLEY-MARINWOOD %CDP<",1741,8,2,328,4,2
"G0601657","1980","4","9","California","06",,,,"Lucerne","1657",,,,,,,,,,,,"LUCERNE %CDP<",642,8,3,166,9,9
"G0601660","1980","4","9","California","06",,,,"Lynwood","1660",,,,,,,,,,,,"LYNWOOD CITY",5899,730,551,4853,916,1097
"G0601665","1980","4","9","California","06",,,,"Mccloud","1665",,,,,,,,,,,,"MCCLOUD %CDP<",429,11,7,154,12,2
"G0601670","1980","4","9","California","06",,,,"Mcfarland","1670",,,,,,,,,,,,"MCFARLAND CITY",684,131,91,328,81,84
"G0601674","1980","4","9","California","06",,,,"Mckinleyville","1674",,,,,,,,,,,,"MCKINLEYVILLE %CDP<",1750,58,15,849,69,20
"G0601680","1980","4","9","California","06",,,,"Madera","1680",,,,,,,,,,,,"MADERA CITY",3994,172,106,2611,271,205
"G0601681","1980","4","9","California","06",,,,"Madera Acres","1681",,,,,,,,,,,,"MADERA ACRES %CDP<",520,21,7,55,11,2
"G0601687","1980","4","9","California","06",,,,"Mammoth Lakes","1687",,,,,,,,,,,,"MAMMOTH LAKES %CDP<",698,13,12,848,36,30
"G0601690","1980","4","9","California","06",,,,"Manhattan Beach","1690",,,,,,,,,,,,"MANHATTAN BEACH CITY",7944,76,17,4958,68,46
"G0601695","1980","4","9","California","06",,,,"Manteca","1695",,,,,,,,,,,,"MANTECA CITY",5074,119,32,3131,149,87
"G0601697","1980","4","9","California","06",,,,"March AFB","1697",,,,,,,,,,,,"MARCH AFB %CDP<",0,0,0,0,0,0
"G0601700","1980","4","9","California","06",,,,"Maricopa","1700",,,,,,,,,,,,"MARICOPA CITY",240,4,3,79,7,5
"G0601705","1980","4","9","California","06",,,,"Marina","1705",,,,,,,,,,,,"MARINA CITY",2222,118,47,3007,198,132
"G0601706","1980","4","9","California","06",,,,"Marina Del Rey","1706",,,,,,,,,,,,"MARINA DEL REY %CDP<",209,0,5,5354,17,35
"G0601708","1980","4","9","California","06",,,,"Mariposa","1708",,,,,,,,,,,,"MARIPOSA %CDP<",318,1,0,204,5,1
"G0601710","1980","4","9","California","06",,,,"Martinez","1710",,,,,,,,,,,,"MARTINEZ CITY",5596,37,9,2724,45,26
"G0601720","1980","4","9","California","06",,,,"Marysville","1720",,,,,,,,,,,,"MARYSVILLE CITY",2024,24,11,2024,61,39
"G0601722","1980","4","9","California","06",,,,"Mather AFB","1722",,,,,,,,,,,,"MATHER AFB %CDP<",8,0,0,1109,34,9
"G0601727","1980","4","9","California","06",,,,"Mayflower Village","1727",,,,,,,,,,,,"MAYFLOWER VILLAGE %CDP<",1623,41,18,244,9,5
"G0601730","1980","4","9","California","06",,,,"Maywood","1730",,,,,,,,,,,,"MAYWOOD CITY",1587,266,257,2714,675,1024
"G0601734","1980","4","9","California","06",,,,"Meadow Vista","1734",,,,,,,,,,,,"MEADOW VISTA %CDP<",765,11,2,110,5,2
"G0601735","1980","4","9","California","06",,,,"Mecca","1735",,,,,,,,,,,,"MECCA %CDP<",93,42,53,63,34,72
"G0601736","1980","4","9","California","06",,,,"Meiners Oaks-Mira Monte","1736",,,,,,,,,,,,"MEINERS OAKS-MIRA MONTE %CDP<",2727,41,18,717,43,22
"G0601737","1980","4","9","California","06",,,,"Mendocino","1737",,,,,,,,,,,,"MENDOCINO %CDP<",270,2,8,196,3,4
"G0601740","1980","4","9","California","06",,,,"Mendota","1740",,,,,,,,,,,,"MENDOTA CITY",443,101,70,444,112,148
"G0601745","1980","4","9","California","06",,,,"Menlo Park","1745",,,,,,,,,,,,"MENLO PARK CITY",5910,118,76,4860,99,184
"G0601750","1980","4","9","California","06",,,,"Merced","1750",,,,,,,,,,,,"MERCED CITY",6512,163,83,5904,371,348
"G0601760","1980","4","9","California","06",,,,"Millbrae","1760",,,,,,,,,,,,"MILLBRAE CITY",5048,55,27,2343,53,56
"G0601765","1980","4","9","California","06",,,,"Mill Valley","1765",,,,,,,,,,,,"MILL VALLEY CITY",3417,14,4,2007,35,16
"G0601770","1980","4","9","California","06",,,,"Milpitas","1770",,,,,,,,,,,,"MILPITAS CITY",7737,311,103,2865,215,105
"G0601780","1980","4","9","California","06",,,,"Mira Loma","1780",,,,,,,,,,,,"MIRA LOMA %CDP<",1914,82,29,441,39,33
"G0601784","1980","4","9","California","06",,,,"Mission Hills","1784",,,,,,,,,,,,"MISSION HILLS %CDP<",622,19,6,149,18,3
"G0601786","1980","4","9","California","06",,,,"Mission Viejo","1786",,,,,,,,,,,,"MISSION VIEJO %CDP<",13170,135,25,2591,55,17
"G0601790","1980","4","9","California","06",,,,"Modesto","1790",,,,,,,,,,,,"MODESTO CITY",23338,418,195,14378,571,357
"G0601795","1980","4","9","California","06",,,,"Mojave","1795",,,,,,,,,,,,"MOJAVE %CDP<",603,25,12,415,23,20
"G0601799","1980","4","9","California","06",,,,"Mono Vista","1799",,,,,,,,,,,,"MONO VISTA %CDP<",317,7,3,94,4,3
"G0601800","1980","4","9","California","06",,,,"Monrovia","1800",,,,,,,,,,,,"MONROVIA CITY",5575,142,71,5562,320,261
"G0601805","1980","4","9","California","06",,,,"Montague","1805",,,,,,,,,,,,"MONTAGUE CITY",303,15,7,95,5,3
"G0601813","1980","4","9","California","06",,,,"Montara","1813",,,,,,,,,,,,"MONTARA %CDP<",560,9,2,103,3,8
"G0601815","1980","4","9","California","06",,,,"Montclair","1815",,,,,,,,,,,,"MONTCLAIR CITY",4446,162,43,2329,197,90
"G0601820","1980","4","9","California","06",,,,"Montebello","1820",,,,,,,,,,,,"MONTEBELLO CITY",8297,524,235,7422,740,687
"G0601825","1980","4","9","California","06",,,,"Monterey","1825",,,,,,,,,,,,"MONTEREY CITY",4035,50,15,6853,159,96
"G0601830","1980","4","9","California","06",,,,"Monterey Park","1830",,,,,,,,,,,,"MONTEREY PARK CITY",9650,523,254,6799,638,566
"G0601832","1980","4","9","California","06",,,,"Monte Rio","1832",,,,,,,,,,,,"MONTE RIO %CDP<",274,4,7,233,7,7
"G0601835","1980","4","9","California","06",,,,"Monte Sereno","1835",,,,,,,,,,,,"MONTE SERENO CITY",1026,2,2,88,1,0
"G0601840","1980","4","9","California","06",,,,"Moorpark","1840",,,,,,,,,,,,"MOORPARK %CDP<",617,49,31,294,52,78
"G0601847","1980","4","9","California","06",,,,"Moraga Town","1847",,,,,,,,,,,,"MORAGA TOWN CITY",3888,9,6,965,4,1
"G0601848","1980","4","9","California","06",,,,"Moreno","1848",,,,,,,,,,,,"MORENO %CDP<",296,6,1,38,5,4
"G0601850","1980","4","9","California","06",,,,"Morgan Hill","1850",,,,,,,,,,,,"MORGAN HILL CITY",3589,64,32,1312,139,96
"G0601853","1980","4","9","California","06",,,,"Morongo Valley","1853",,,,,,,,,,,,"MORONGO VALLEY %CDP<",380,12,2,86,3,2
"G0601855","1980","4","9","California","06",,,,"Morro Bay","1855",,,,,,,,,,,,"MORRO BAY CITY",2276,30,19,1785,46,35
"G0601857","1980","4","9","California","06",,,,"Moss Beach","1857",,,,,,,,,,,,"MOSS BEACH %CDP<",493,3,0,143,1,3
"G0601860","1980","4","9","California","06",,,,"Mountain View","1860",,,,,,,,,,,,"MOUNTAIN VIEW CITY",9197,162,98,17024,457,542
"G0601861","1980","4","9","California","06",,,,"Mountain View Acres","1861",,,,,,,,,,,,"MOUNTAIN VIEW ACRES %CDP<",462,18,1,75,3,0
"G0601870","1980","4","9","California","06",,,,"Mount Shasta","1870",,,,,,,,,,,,"MOUNT SHASTA CITY",683,12,2,425,14,6
"G0601875","1980","4","9","California","06",,,,"Mulberry","1875",,,,,,,,,,,,"MULBERRY %CDP<",379,11,4,390,16,15
"G0601876","1980","4","9","California","06",,,,"Murphys","1876",,,,,,,,,,,,"MURPHYS %CDP<",334,5,0,116,4,0
"G0601878","1980","4","9","California","06",,,,"Murrieta Hot Springs","1878",,,,,,,,,,,,"MURRIETA HOT SPRINGS %CDP<",496,1,2,71,1,2
"G0601881","1980","4","9","California","06",,,,"Muscoy","1881",,,,,,,,,,,,"MUSCOY %CDP<",1136,95,50,542,68,43
"G0601883","1980","4","9","California","06",,,,"Myrtletown","1883",,,,,,,,,,,,"MYRTLETOWN %CDP<",923,16,1,471,14,5
"G0601884","1980","4","9","California","06",,,,"Napa","1884",,,,,,,,,,,,"NAPA CITY",11937,122,39,7258,193,165
"G0601885","1980","4","9","California","06",,,,"National City","1885",,,,,,,,,,,,"NATIONAL CITY CITY",4508,366,256,7273,946,941
"G0601887","1980","4","9","California","06",,,,"Nebo Center","1887",,,,,,,,,,,,"NEBO CENTER %CDP<",0,0,0,0,0,0
"G0601890","1980","4","9","California","06",,,,"Needles","1890",,,,,,,,,,,,"NEEDLES CITY",944,29,9,524,34,20
"G0601895","1980","4","9","California","06",,,,"Nevada City","1895",,,,,,,,,,,,"NEVADA CITY CITY",652,5,2,386,7,7
"G0601900","1980","4","9","California","06",,,,"Newark","1900",,,,,,,,,,,,"NEWARK CITY",6723,303,99,1824,179,88
"G0601905","1980","4","9","California","06",,,,"Newhall","1905",,,,,,,,,,,,"NEWHALL %CDP<",2478,51,20,1450,80,100
"G0601910","1980","4","9","California","06",,,,"Newman","1910",,,,,,,,,,,,"NEWMAN CITY",597,27,7,322,32,22
"G0601915","1980","4","9","California","06",,,,"Newport Beach","1915",,,,,,,,,,,,"NEWPORT BEACH CITY",14804,58,26,12720,105,107
"G0601916","1980","4","9","California","06",,,,"Niland","1916",,,,,,,,,,,,"NILAND %CDP<",240,14,30,124,9,17
"G0601918","1980","4","9","California","06",,,,"Nipomo","1918",,,,,,,,,,,,"NIPOMO %CDP<",1224,57,29,290,56,55
"G0601919","1980","4","9","California","06",,,,"Norco","1919",,,,,,,,,,,,"NORCO CITY",4880,156,31,762,51,30
"G0601924","1980","4","9","California","06",,,,"North Auburn","1924",,,,,,,,,,,,"NORTH AUBURN %CDP<",2111,25,7,961,56,10
"G0601925","1980","4","9","California","06",,,,"North Edwards","1925",,,,,,,,,,,,"NORTH EDWARDS %CDP<",262,12,2,120,5,1
"G0601927","1980","4","9","California","06",,,,"North Fair Oaks","1927",,,,,,,,,,,,"NORTH FAIR OAKS %CDP<",1581,70,75,1391,151,331
"G0601935","1980","4","9","California","06",,,,"North Highlands","1935",,,,,,,,,,,,"NORTH HIGHLANDS %CDP<",7208,159,49,5391,234,67
"G0601950","1980","4","9","California","06",,,,"Norwalk","1950",,,,,,,,,,,,"NORWALK CITY",15031,1346,772,6630,738,685
"G0601955","1980","4","9","California","06",,,,"Novato","1955",,,,,,,,,,,,"NOVATO CITY",9318,63,18,5925,115,54
"G0601957","1980","4","9","California","06",,,,"Nuevo","1957",,,,,,,,,,,,"NUEVO %CDP<",455,18,3,62,5,6
"G0601965","1980","4","9","California","06",,,,"Oakdale","1965",,,,,,,,,,,,"OAKDALE CITY",1890,34,14,1198,52,49
"G0601967","1980","4","9","California","06",,,,"Oakhurst","1967",,,,,,,,,,,,"OAKHURST %CDP<",548,14,6,171,14,2
"G0601970","1980","4","9","California","06",,,,"Oakland","1970",,,,,,,,,,,,"OAKLAND CITY",57987,1841,977,74233,3507,3112
"G0601975","1980","4","9","California","06",,,,"Oakley","1975",,,,,,,,,,,,"OAKLEY %CDP<",608,29,16,251,20,14
"G0601980","1980","4","9","California","06",,,,"Oak View","1980",,,,,,,,,,,,"OAK VIEW %CDP<",1113,42,14,411,22,10
"G0601985","1980","4","9","California","06",,,,"Oceano","1985",,,,,,,,,,,,"OCEANO %CDP<",895,61,39,485,59,46
"G0601990","1980","4","9","California","06",,,,"Oceanside","1990",,,,,,,,,,,,"OCEANSIDE CITY",15419,409,238,11719,705,532
"G0601992","1980","4","9","California","06",,,,"Oildale","1992",,,,,,,,,,,,"OILDALE %CDP<",5391,78,39,3804,177,50
"G0601995","1980","4","9","California","06",,,,"Ojai","1995",,,,,,,,,,,,"OJAI CITY",1582,26,7,924,28,18
"G0602000","1980","4","9","California","06",,,,"Olivehurst","2000",,,,,,,,,,,,"OLIVEHURST %CDP<",1925,93,36,826,66,20
"G0602005","1980","4","9","California","06",,,,"Ontario","2005",,,,,,,,,,,,"ONTARIO CITY",18068,669,315,8899,788,637
"G0602010","1980","4","9","California","06",,,,"Opal Cliffs","2010",,,,,,,,,,,,"OPAL CLIFFS %CDP<",1406,10,11,1046,27,9
"G0602015","1980","4","9","California","06",,,,"Orange","2015",,,,,,,,,,,,"ORANGE CITY",18401,315,138,11880,523,451
"G0602020","1980","4","9","California","06",,,,"Orange Cove","2020",,,,,,,,,,,,"ORANGE COVE CITY",528,79,54,279,68,89
